관리번호|법정동코드|시도명|시군구명|법정읍면동명|법정리명|산여부|지번본번|지번부번|도로명코드|도로명|지하여부|건물본번|건물부번|행정동코드|행정동명|우편번호|우편일련번호|고시일자|이동사유코드|변경전도로명주소|시군구용건물명|공동주택구분|기타
41370101219800100003400000|4137010100|경기도|오산시|오산동||0|609|56|413702198001|성호대로|0|34|0|4137053000|남촌동|18130||20110729|0||||
41370101219800100003500000|4137010100|경기도|오산시|오산동||0|609|58|413702198001|성호대로|0|35|0|4137053000|남촌동|18129||20110729|0|||남촌약국|
41370101219800100003500001|4137010100|경기도|오산시|오산동||0|609|25|413702198001|성호대로|0|35|1|4137053000|남촌동|18129||20110729|0|||일신빌딩|
41370101219800100003600000|4137010100|경기도|오산시|오산동||0|609|55|413702198001|성호대로|0|36|0|4137053000|남촌동|18130||20110729|0||||
41370101219800100003600004|4137010100|경기도|오산시|오산동||0|609|89|413702198001|성호대로|0|36|4|4137053000|남촌동|18130||20110729|0||||
41370101219800100003700000|4137010100|경기도|오산시|오산동||0|532|6|413702198001|성호대로|0|37|0|4137053000|남촌동|18129||20110729|0||||
41370101219800100003800000|4137010100|경기도|오산시|오산동||0|609|54|413702198001|성호대로|0|38|0|4137053000|남촌동|18130||20110729|0||||
41370101219800100003800001|4137010100|경기도|오산시|오산동||0|609|53|413702198001|성호대로|0|38|1|4137053000|남촌동|18130||20110729|0||||
41370101219800100004000000|4137010100|경기도|오산시|오산동||0|609|109|413702198001|성호대로|0|40|0|4137053000|남촌동|18130||20110729|0||||
41370101219800100004200001|4137010100|경기도|오산시|오산동||0|608|1|413702198001|성호대로|0|42|1|4137053000|남촌동|18130||20181001|0||||
41370101219800100004300000|4137010100|경기도|오산시|오산동||0|524|1|413702198001|성호대로|0|43|0|4137053000|남촌동|18129||20110729|0|||성산초등학교|
41370101219800100005000000|4137010100|경기도|오산시|오산동||0|537|7|413702198001|성호대로|0|50|0|4137053000|남촌동|18130||20110729|0||||
41370101219800100005500002|4137010100|경기도|오산시|오산동||0|543|7|413702198001|성호대로|0|55|2|4137051000|중앙동|18136||20190124|0||||
41370101219800100005500003|4137010100|경기도|오산시|오산동||0|543|4|413702198001|성호대로|0|55|3|4137051000|중앙동|18136||20110729|0||||
41370101219800100005600000|4137010100|경기도|오산시|오산동||0|540|28|413702198001|성호대로|0|56|0|4137052300|대원1동|18137||20110729|0||||
41370101219800100005700000|4137010100|경기도|오산시|오산동||0|543|10|413702198001|성호대로|0|57|0|4137051000|중앙동|18136||20110729|0||||
41370101219800100005800000|4137010100|경기도|오산시|오산동||0|540|23|413702198001|성호대로|0|58|0|4137052300|대원1동|18137||20110729|0||||
41370101219800100006000000|4137010100|경기도|오산시|오산동||0|540|6|413702198001|성호대로|0|60|0|4137052300|대원1동|18137||20110729|0|||원일러|
41370101219800100006000001|4137010100|경기도|오산시|오산동||0|603|91|413702198001|성호대로|0|60|1|4137052300|대원1동|18137||20150223|0||||
41370101219800100006500000|4137010100|경기도|오산시|오산동||0|873|7|413702198001|성호대로|0|65|0|4137051000|중앙동|18136||20110729|0|||경희한의원|
41370101219800100006700000|4137010100|경기도|오산시|오산동||0|873|16|413702198001|성호대로|0|67|0|4137051000|중앙동|18136||20110729|0||||
41370101219800100006800000|4137010100|경기도|오산시|오산동||0|876|2|413702198001|성호대로|0|68|0|4137052300|대원1동|18138||20110729|0||||
41370101219800100006900000|4137010100|경기도|오산시|오산동||0|873|12|413702198001|성호대로|0|69|0|4137051000|중앙동|18136||20110729|0||||
41370101219800100007000000|4137010100|경기도|오산시|오산동||0|876|3|413702198001|성호대로|0|70|0|4137052300|대원1동|18138||20110729|0|||농협중앙회오산시지부|
41370101219800100007100000|4137010100|경기도|오산시|오산동||0|872|16|413702198001|성호대로|0|71|0|4137051000|중앙동|18136||20110729|0|||LG전자|
41370101219800100007200000|4137010100|경기도|오산시|오산동||0|876|4|413702198001|성호대로|0|72|0|4137052300|대원1동|18138||20110729|0|||베이직하우스|
41370101219800100007200001|4137010100|경기도|오산시|오산동||0|876|5|413702198001|성호대로|0|72|1|4137052300|대원1동|18138||20110729|0|||크로커다일|
41370101219800100007300000|4137010100|경기도|오산시|오산동||0|872|2|413702198001|성호대로|0|73|0|4137051000|중앙동|18136||20110729|0|||성모외과|
41370101219800100007400000|4137010100|경기도|오산시|오산동||0|876|6|413702198001|성호대로|0|74|0|4137052300|대원1동|18138||20110729|0||||
41370101219800100007400001|4137010100|경기도|오산시|오산동||0|876|7|413702198001|성호대로|0|74|1|4137052300|대원1동|18138||20110729|0||||
41370101219800100007500000|4137010100|경기도|오산시|오산동||0|872|14|413702198001|성호대로|0|75|0|4137051000|중앙동|18136||20110729|0||||
41370101219800100007600000|4137010100|경기도|오산시|오산동||0|876|8|413702198001|성호대로|0|76|0|4137052300|대원1동|18138||20110729|0||||
41370101219800100007700000|4137010100|경기도|오산시|오산동||0|872|12|413702198001|성호대로|0|77|0|4137051000|중앙동|18136||20111230|0|||태원빌딩|
41370101219800100007800000|4137010100|경기도|오산시|오산동||0|876|10|413702198001|성호대로|0|78|0|4137052300|대원1동|18138||20110729|0||||
41370101219800100007900000|4137010100|경기도|오산시|오산동||0|872|10|413702198001|성호대로|0|79|0|4137051000|중앙동|18136||20110729|0||||
41370101219800100008100000|4137010100|경기도|오산시|오산동||0|871|0|413702198001|성호대로|0|81|0|4137051000|중앙동|18135||20110729|0|||수영빌딩|
